title,description,link,likes,author,author_username,timestamp,mentions_in_caption,hashtags,scraped_at,views,shares,comments
,,https://www.tiktok.com/@amhistory9/video/7540514987094101264,0.0,@,,2025-08-20T08:51:16+00:00,[],[],2025-08-20 08:51:16,,0.0,0.0
#prabowosubianto #ganjarpranowo,,https://www.tiktok.com/@anaknyabangjecky/video/7332061989126016262,41.0,@anaknyabangjecky,anaknyabangjecky,2024-02-05T00:00:00+00:00,[],"['#prabowosubianto', '#ganjarpranowo']",2025-08-22 04:19:48,,0.0,0.0
PART 1: PRABOWO KONSOLIDASI ELIT NASIONALIS,,https://www.tiktok.com/@anayrees/video/7510970588798799109,3549.0,@anayrees,anayrees,2024-06-01T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Umumkan Hasil Pemilu 2024 Hari ini,,https://www.tiktok.com/@andi88956/video/7348258383520386310,142.0,@andi88956,andi88956,2024-03-20T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
2024,,https://www.tiktok.com/@andovishow/video/7301312336210447621,0.0,@andovishow,andovishow,2023-11-14T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@andzero22/video/7434205868343758087,0.0,@,,2025-08-22T09:03:09.646170+00:00,[],[],2025-08-22 09:03:09,,0.0,0.0
,,https://www.tiktok.com/@aniesbaswedan/video/7311730711734553862,0.0,@,,2025-08-22T09:03:14.443228+00:00,[],[],2025-08-22 09:03:14,,0.0,0.0
Saatnya Perubahan.,,https://www.tiktok.com/@aniesbaswedan/video/7331977097247722757,0.0,@aniesbaswedan,aniesbaswedan,2024-02-05T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@anisbaswedan037/video/7377039036260551941,0.0,@anisbaswedan037,anisbaswedan037,2024-06-05T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Politik Dinasti Kami Muak !,,https://www.tiktok.com/@anjahawari/video/7298400352355749126,0.0,@anjahawari,anjahawari,2023-11-07T00:00:00+00:00,[],[],2025-08-27 02:29:04,,0.0,0.0
�� Klarifikasi penting dari WAMI!,,https://www.tiktok.com/@antaramegapolitan/video/7540486518448655634,29.0,@antaramegapolitan,antaramegapolitan,2025-08-22T01:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Pemilu Akan Dilaksanakan Serentak 14 Februari 2024.,,https://www.tiktok.com/@antaranews/video/7057487194017008922,651.0,@antaranews,antaranews,2022-01-26T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@anzero24/video/7539733771277438216,0.0,@,,2025-08-22T09:03:13.592152+00:00,[],[],2025-08-22 09:03:13,,0.0,0.0
SEBAGAI CAWAPRES JAWABAN GIBR4N KETIKA DITANYA SANGAT MEMALUKAN,,https://www.tiktok.com/@ar.official11/video/7311499321550114053,0.0,@ar.official11,ar.official11,2023-12-12T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Dinasti darah kotor,,https://www.tiktok.com/@ardianlubis_/video/7339904457351695621,149.0,@ardianlubis_,ardianlubis_,2024-02-26T00:00:00+00:00,[],[],2025-08-26 07:41:14,,0.0,0.0
"Kampanye PDIP, 10 February 2024",,https://www.tiktok.com/@aria__anggara/video/7334265740264000773,191.0,@aria__anggara,aria__anggara,2024-02-11T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
,,https://www.tiktok.com/@arif.bungsu_17/video/7533806040014441784,0.0,@,,,[],[],2025-08-22 04:19:48,,0.0,0.0
GAJAH VS BANTENG???,,https://www.tiktok.com/@aristokratix/video/7529131111092538629,4666.0,@aristokratix,aristokratix,2025-07-20T00:00:00+00:00,[],[],2025-08-26 07:25:01,4666.0,0.0,0.0
created by Ariv Nurdiansyah with Ariv Nurdiansyah’s suara asli - Ariv Nurdiansyah,created by Ariv Nurdiansyah with Ariv Nurdiansyah’s suara asli - Ariv Nurdiansyah,https://www.tiktok.com/@arivnurdiansyah/video/7334901686667955462,33.0,@arivnurdiansyah,arivnurdiansyah,2024-02-13T00:00:00+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
setiap hari kita selalu mendengar kebijakan yg tidak bijak dr pemerintahan prabowo.,,https://www.tiktok.com/@arlinzhuu.com/video/7540291367390416145,51.0,@arlinzhuu.com,arlinzhuu.com,2025-08-21T12:25:45+00:00,[],[],2025-08-22 04:19:48,,0.0,0.0
Suasana capres memberikan hak pilih,,https://www.tiktok.com/@arsip_sejarah/video/7343600442821168389,7912.0,@arsip_sejarah,arsip_sejarah,2024-03-07T00:00:00+00:00,[],[],2025-08-20 06:50:55,,0.0,0.0
